dataset,feature,target,perturbation,mean_prediction_delta,normalized_mean_delta,response_direction,expected_direction,direction_consistent
powery,CR2,C-11,plus_10pct,-79.01219865499063,-0.0616088904121883,-1,0,False
powery,CR2,C-12,plus_10pct,-79.12047965684458,-0.061906771671507585,-1,0,False
powery,CR2,C-13,plus_10pct,-75.44395190876462,-0.04963224072583223,-1,0,False
powery,CR2,C-14,plus_10pct,-60.96904458863075,-0.04778736947568615,-1,0,False
powery,CR2,C-15,plus_10pct,-47.90387147312245,-0.03717432345637536,-1,0,False
powery,CR5,A-2,minus_10pct,54.80948195590241,0.1018908328018108,1,0,False
powery,CR5,B-1,minus_10pct,53.08410455130417,0.08150037698304824,1,0,False
powery,CR5,B-2,minus_10pct,76.04031529092546,0.1163199764087949,1,0,False
powery,CR5,B-4,minus_10pct,68.89681424853683,0.10930562353321192,1,0,False
powery,CR5,B-5,minus_10pct,39.91451599409805,0.06593984119080891,1,0,False
powery,CR5,B-7,minus_10pct,-30.238817105011165,-0.04794609290344183,-1,0,False
powery,CR5,B-8,minus_10pct,-28.021740290327944,-0.044381400717816766,-1,0,False
powery,CR5,C-1,minus_10pct,45.86772429220202,0.03152685943833194,1,0,False
powery,CR5,C-2,minus_10pct,66.26211219969926,0.04402324139967845,1,0,False
powery,CR5,C-3,minus_10pct,79.4968063173644,0.04940019925449245,1,0,False
powery,CR5,C-4,minus_10pct,78.86257191382425,0.05736666797950637,1,0,False
powery,CR5,C-5,minus_10pct,78.81781533348978,0.05799694682267615,1,0,False
powery,CR5,C-6,minus_10pct,74.94878983287299,0.05361603267353919,1,0,False
powery,CR5,C-7,minus_10pct,61.412115644247166,0.04063252815381119,1,0,False
powery,CR5,C-8,minus_10pct,43.294482387558766,0.027867825882848783,1,0,False
powery,CR5,C-9,minus_10pct,12.239623823788298,0.00928583720778581,1,0,False
powery,CR5,C-10,minus_10pct,-53.82074367731782,-0.04434288503670814,-1,0,False
powery,CR5,C-11,minus_10pct,-244.812148178598,-0.1908895723123253,-1,0,False
powery,CR5,C-12,minus_10pct,-279.54992287749775,-0.21873013562889457,-1,0,False
powery,CR5,C-13,minus_10pct,-209.6855254418979,-0.13794561674129183,-1,0,False
powery,CR5,C-14,minus_10pct,-23.209209276092206,-0.018191314402226374,-1,0,False
powery,CR5,C-15,minus_10pct,16.77807169639136,0.013020105578854049,1,0,False
powery,CR5,A-2,plus_10pct,-51.28894311588247,-0.09534615072272533,-1,0,False
powery,CR5,B-1,plus_10pct,-49.674390662548795,-0.07626542068705716,-1,0,False
powery,CR5,B-2,plus_10pct,-71.15607129087411,-0.10884847731404337,-1,0,False
powery,CR5,B-4,plus_10pct,-64.47141371819143,-0.10228467242495537,-1,0,False
powery,CR5,B-5,plus_10pct,-37.35071500888018,-0.06170437382762947,-1,0,False
powery,CR5,B-7,plus_10pct,28.29650846979892,0.04486640529702383,1,0,False
powery,CR5,B-8,plus_10pct,26.221839588175317,0.0415306814731563,1,0,False
powery,CR5,C-1,plus_10pct,-42.92153507253481,-0.029501816887377033,-1,0,False
powery,CR5,C-2,plus_10pct,-62.005944629852564,-0.04119552755016892,-1,0,False
powery,CR5,C-3,plus_10pct,-74.39054396438348,-0.046227111059276835,-1,0,False
powery,CR5,C-4,plus_10pct,-73.79704789245415,-0.053681875211224694,-1,0,False
powery,CR5,C-5,plus_10pct,-73.75516613001227,-0.054271669797506056,-1,0,False
powery,CR5,C-6,plus_10pct,-70.13465701856553,-0.05017215182046296,-1,0,False
powery,CR5,C-7,plus_10pct,-57.46747448622042,-0.038022607599393375,-1,0,False
powery,CR5,C-8,plus_10pct,-40.513578402248534,-0.026077811456395775,-1,0,False
powery,CR5,C-9,plus_10pct,-11.453444689792141,-0.00868938656848938,-1,0,False
powery,CR5,C-10,plus_10pct,50.36371376655874,0.04149463974265703,1,0,False
powery,CR5,C-11,plus_10pct,229.0873019400423,0.17862829689977866,1,0,False
powery,CR5,C-12,plus_10pct,261.5937896302141,0.20468059692710797,1,0,False
powery,CR5,C-13,plus_10pct,196.21694281413104,0.1290850531267892,1,0,False
powery,CR5,C-14,plus_10pct,21.71842848804574,0.017022844520398577,1,0,False
powery,CR5,C-15,plus_10pct,-15.700377637627826,-0.01218379431015069,-1,0,False
htgr,theta5,fluxQ1,minus_10pct,-0.00013518125516552083,-0.00587727521030727,-1,0,False
htgr,theta5,fluxQ2,minus_10pct,-7.632248784816997e-07,-2.9905325445009465e-05,-1,0,False
htgr,theta5,fluxQ3,minus_10pct,0.0002778993974710737,0.012894138701275374,1,0,False
htgr,theta5,fluxQ4,minus_10pct,-4.884297372574428e-05,-0.0020247348617700046,-1,0,False
htgr,theta5,fluxQ1,plus_10pct,9.787086129286259e-05,0.004255131276770953,1,0,False
htgr,theta5,fluxQ2,plus_10pct,-9.173273232766194e-09,-3.594349832615485e-07,-1,0,False
htgr,theta5,fluxQ3,plus_10pct,-0.0002352214212429062,-0.010913941011091447,-1,0,False
htgr,theta5,fluxQ4,plus_10pct,5.1064906577773285e-05,0.0021168427856502396,1,0,False
htgr,theta8,fluxQ1,minus_10pct,1.4512483754882508e-06,6.30959232536501e-05,1,0,False
htgr,theta8,fluxQ2,minus_10pct,-0.0001263995706081008,-0.004952695334911496,-1,0,False
htgr,theta8,fluxQ3,minus_10pct,-5.412199544943052e-05,-0.002511183984079674,-1,0,False
htgr,theta8,fluxQ4,minus_10pct,0.0002967997041603812,0.012303524174241715,1,0,False
htgr,theta8,fluxQ1,plus_10pct,4.377107872711079e-06,0.00019030351184138968,1,0,False
htgr,theta8,fluxQ2,plus_10pct,0.0001035067368660456,0.004055688878863339,1,0,False
htgr,theta8,fluxQ3,plus_10pct,6.437519240597477e-05,0.0029869178103933396,1,0,False
htgr,theta8,fluxQ4,plus_10pct,-0.00027758440764581445,-0.011506973969277754,-1,0,False
htgr,theta1,fluxQ1,minus_10pct,0.00033599466152994464,0.01460803935122211,1,0,False
htgr,theta1,fluxQ2,minus_10pct,-6.299302342778375e-05,-0.00246824614800361,-1,0,False
htgr,theta1,fluxQ3,minus_10pct,-0.00015440653500753187,-0.00716424467590896,-1,0,False
htgr,theta1,fluxQ4,minus_10pct,-2.3574394078924466e-05,-0.0009772520773350065,-1,0,False
htgr,theta1,fluxQ1,plus_10pct,-0.00024730891732032757,-0.010752249394895544,-1,0,False
htgr,theta1,fluxQ2,plus_10pct,5.386196069355326e-05,0.002110465092347799,1,0,False
htgr,theta1,fluxQ3,plus_10pct,0.00012188230635284279,0.005655166501426023,1,0,False
htgr,theta1,fluxQ4,plus_10pct,1.4879304071099225e-05,0.0006168061314365003,1,0,False
microreactor,theta4,fluxQ1,minus_10pct,-7531280820128463.0,-0.003586324200061173,-1,0,False
microreactor,theta4,fluxQ2,minus_10pct,1.2243192363916472e+16,0.005101330151631864,1,0,False
microreactor,theta4,fluxQ3,minus_10pct,-1.1545908033771886e+16,-0.005772954016885943,-1,0,False
microreactor,theta4,fluxQ4,minus_10pct,-2.8778176700001572e+16,-0.011990906958333988,-1,0,False
microreactor,theta4,fluxQ1,plus_10pct,6698201969266064.0,0.0031896199853647922,1,0,False
microreactor,theta4,fluxQ2,plus_10pct,-2.393182343727929e+16,-0.00997159309886637,-1,0,False
microreactor,theta4,fluxQ3,plus_10pct,8177000446583923.0,0.004088500223291961,1,0,False
microreactor,theta4,fluxQ4,plus_10pct,1.7574467809769214e+16,0.0073226949207371725,1,0,False
microreactor,theta6,fluxQ1,minus_10pct,1435692264559107.5,0.0006836629831233845,1,0,False
microreactor,theta6,fluxQ2,minus_10pct,-1135488398424321.8,-0.0004731201660101341,-1,0,False
microreactor,theta6,fluxQ3,minus_10pct,9698819573932358.0,0.004849409786966179,1,0,False
microreactor,theta6,fluxQ4,minus_10pct,617059018695442.6,0.00025710792445643443,1,0,False
microreactor,theta6,fluxQ1,plus_10pct,440745868331482.7,0.00020987898491975365,1,0,False
microreactor,theta6,fluxQ2,plus_10pct,3689468667171684.0,0.001537278611321535,1,0,False
microreactor,theta6,fluxQ3,plus_10pct,-1.831403402775111e+16,-0.009157017013875555,-1,0,False
microreactor,theta6,fluxQ4,plus_10pct,-3180665249333438.0,-0.0013252771872222658,-1,0,False
microreactor,theta1,fluxQ1,minus_10pct,-2.1985303704708456e+16,-0.01046919224033736,-1,0,False
microreactor,theta1,fluxQ2,minus_10pct,-1169402434744103.0,-0.00048725101447670956,-1,0,False
microreactor,theta1,fluxQ3,minus_10pct,3591769041931718.5,0.0017958845209658592,1,0,False
microreactor,theta1,fluxQ4,minus_10pct,3443774010988286.5,0.001434905837911786,1,0,False
microreactor,theta1,fluxQ1,plus_10pct,1.4843224069853428e+16,0.007068201938025442,1,0,False
microreactor,theta1,fluxQ2,plus_10pct,2393968657772517.0,0.0009974869407385488,1,0,False
microreactor,theta1,fluxQ3,plus_10pct,-5010540731065839.0,-0.0025052703655329195,-1,0,False
microreactor,theta1,fluxQ4,plus_10pct,-9523796614597218.0,-0.0039682485894155075,-1,0,False
