dataset,feature,grid_value,target,mean_prediction
fp,clad_T,604.2739999999999,target_1,3.097811402592028e-05
fp,clad_T,604.2739999999999,target_2,1591.8986636189904
fp,clad_T,604.2739999999999,target_3,702.2423436572757
fp,clad_T,604.2739999999999,target_4,1.9247137627894457e-05
fp,clad_T,605.6534999999999,target_1,3.097801384070309e-05
fp,clad_T,605.6534999999999,target_2,1594.5258032270772
fp,clad_T,605.6534999999999,target_3,703.5956265637545
fp,clad_T,605.6534999999999,target_4,1.9327214451013093e-05
fp,clad_T,607.0329999999999,target_1,3.097791365548593e-05
fp,clad_T,607.0329999999999,target_2,1597.1529428351641
fp,clad_T,607.0329999999999,target_3,704.9489094702335
fp,clad_T,607.0329999999999,target_4,1.9407291274131732e-05
fp,clad_T,608.4124999999999,target_1,3.097781347026874e-05
fp,clad_T,608.4124999999999,target_2,1599.780082443251
fp,clad_T,608.4124999999999,target_3,706.3021923767125
fp,clad_T,608.4124999999999,target_4,1.948736809725036e-05
fp,clad_T,609.7919999999999,target_1,3.0977713285051566e-05
fp,clad_T,609.7919999999999,target_2,1602.4072220513376
fp,clad_T,609.7919999999999,target_3,707.6554752831914
fp,clad_T,609.7919999999999,target_4,1.9567444920368998e-05
fp,clad_T,611.1714999999999,target_1,3.097761309983438e-05
fp,clad_T,611.1714999999999,target_2,1605.0343616594243
fp,clad_T,611.1714999999999,target_3,709.0087581896703
fp,clad_T,611.1714999999999,target_4,1.9647521743487637e-05
fp,clad_T,612.5509999999999,target_1,3.0977512914617204e-05
fp,clad_T,612.5509999999999,target_2,1607.6615012675113
fp,clad_T,612.5509999999999,target_3,710.3620410961494
fp,clad_T,612.5509999999999,target_4,1.9727598566606273e-05
fp,clad_T,613.9304999999999,target_1,3.0977412729400026e-05
fp,clad_T,613.9304999999999,target_2,1610.288640875598
fp,clad_T,613.9304999999999,target_3,711.7153240026282
fp,clad_T,613.9304999999999,target_4,1.980767538972491e-05
rea,rod_worth,0.008086786031157844,target_1,74.3202546984659
rea,rod_worth,0.008086786031157844,target_2,0.4804662041541552
rea,rod_worth,0.008086786031157844,target_3,881.0414749490099
rea,rod_worth,0.008086786031157844,target_4,560.3253487396383
rea,rod_worth,0.00817747642296036,target_1,87.35961593978467
rea,rod_worth,0.00817747642296036,target_2,0.44143434629639783
rea,rod_worth,0.00817747642296036,target_3,888.918375120624
rea,rod_worth,0.00817747642296036,target_4,560.4185071263008
rea,rod_worth,0.008268166814762876,target_1,101.69971094477063
rea,rod_worth,0.008268166814762876,target_2,0.4024604864052496
rea,rod_worth,0.008268166814762876,target_3,894.216861845704
rea,rod_worth,0.008268166814762876,target_4,560.4951844324376
rea,rod_worth,0.008358857206565392,target_1,121.56747746189156
rea,rod_worth,0.008358857206565392,target_2,0.37781051990087894
rea,rod_worth,0.008358857206565392,target_3,904.2942501703072
rea,rod_worth,0.008358857206565392,target_4,560.6130977450489
rea,rod_worth,0.008449547598367909,target_1,142.88609917141537
rea,rod_worth,0.008449547598367909,target_2,0.35870089356769097
rea,rod_worth,0.008449547598367909,target_3,907.2594021984962
rea,rod_worth,0.008449547598367909,target_4,560.6854965946332
rea,rod_worth,0.008540237990170424,target_1,163.61003888644711
rea,rod_worth,0.008540237990170424,target_2,0.3442904878687515
rea,rod_worth,0.008540237990170424,target_3,914.9935631439241
rea,rod_worth,0.008540237990170424,target_4,560.8351513212857
rea,rod_worth,0.00863092838197294,target_1,185.80174371229862
rea,rod_worth,0.00863092838197294,target_2,0.3314967732171534
rea,rod_worth,0.00863092838197294,target_3,921.6430499073626
rea,rod_worth,0.00863092838197294,target_4,560.9325943530107
rea,rod_worth,0.008721618773775457,target_1,221.0434094350493
rea,rod_worth,0.008721618773775457,target_2,0.3200903612521897
rea,rod_worth,0.008721618773775457,target_3,928.2132562670929
rea,rod_worth,0.008721618773775457,target_4,561.0749778086753
rea,rod_worth,0.008812309165577972,target_1,254.12078173310226
rea,rod_worth,0.008812309165577972,target_2,0.30206315001161954
rea,rod_worth,0.008812309165577972,target_3,935.4048631460298
rea,rod_worth,0.008812309165577972,target_4,561.2687612502216
rea,rod_worth,0.008902999557380489,target_1,279.79718261286575
rea,rod_worth,0.008902999557380489,target_2,0.2941459419218211
rea,rod_worth,0.008902999557380489,target_3,939.3681811637813
rea,rod_worth,0.008902999557380489,target_4,561.3264406746409
rea,rod_worth,0.008993689949183004,target_1,338.4617267376497
rea,rod_worth,0.008993689949183004,target_2,0.28331614513891296
rea,rod_worth,0.008993689949183004,target_3,946.3570283040922
rea,rod_worth,0.008993689949183004,target_4,561.5139630068732
rea,rod_worth,0.00908438034098552,target_1,376.23997522884565
rea,rod_worth,0.00908438034098552,target_2,0.2733124345745314
rea,rod_worth,0.00908438034098552,target_3,952.8630394841053
rea,rod_worth,0.00908438034098552,target_4,561.6440894905583
rea,rod_worth,0.009175070732788037,target_1,429.47270111778823
rea,rod_worth,0.009175070732788037,target_2,0.26280097913658457
rea,rod_worth,0.009175070732788037,target_3,956.5365113905491
rea,rod_worth,0.009175070732788037,target_4,561.8364661115215
rea,rod_worth,0.009265761124590552,target_1,467.3300660712298
rea,rod_worth,0.009265761124590552,target_2,0.2554821212998102
rea,rod_worth,0.009265761124590552,target_3,962.1388910461703
rea,rod_worth,0.009265761124590552,target_4,561.9509098805974
rea,rod_worth,0.009356451516393069,target_1,512.5888023158332
rea,rod_worth,0.009356451516393069,target_2,0.24859882360391403
rea,rod_worth,0.009356451516393069,target_3,966.0761795719986
rea,rod_worth,0.009356451516393069,target_4,562.0996680588706
rea,beta,0.0070429217593209045,target_1,469.9845378293861
rea,beta,0.0070429217593209045,target_2,0.257362027764393
rea,beta,0.0070429217593209045,target_3,954.2440398880827
rea,beta,0.0070429217593209045,target_4,561.8355742351654
rea,beta,0.007131400279773745,target_1,429.1761792866912
rea,beta,0.007131400279773745,target_2,0.2672501503838718
rea,beta,0.007131400279773745,target_3,952.2744701428273
rea,beta,0.007131400279773745,target_4,561.7240438877849
rea,beta,0.007219878800226586,target_1,383.3303120210778
rea,beta,0.007219878800226586,target_2,0.27402697489176603
rea,beta,0.007219878800226586,target_3,946.8779972592663
rea,beta,0.007219878800226586,target_4,561.6242007054797
rea,beta,0.007308357320679427,target_1,337.60353501797755
rea,beta,0.007308357320679427,target_2,0.2851575471076695
rea,beta,0.007308357320679427,target_3,943.5861036111932
rea,beta,0.007308357320679427,target_4,561.4527385091914
rea,beta,0.007396835841132268,target_1,307.7227042192634
rea,beta,0.007396835841132268,target_2,0.293408322680815
rea,beta,0.007396835841132268,target_3,937.8654476580623
rea,beta,0.007396835841132268,target_4,561.3774748443243
rea,beta,0.007485314361585109,target_1,271.45063929077975
rea,beta,0.007485314361585109,target_2,0.3067319448953754
rea,beta,0.007485314361585109,target_3,932.7897705920429
rea,beta,0.007485314361585109,target_4,561.2594572508661
rea,beta,0.007573792882037949,target_1,242.6490119019743
rea,beta,0.007573792882037949,target_2,0.31487784603330493
rea,beta,0.007573792882037949,target_3,929.3004534198967
rea,beta,0.007573792882037949,target_4,561.1551394865005
rea,beta,0.007662271402490791,target_1,207.15876250004044
rea,beta,0.007662271402490791,target_2,0.32641286518776425
rea,beta,0.007662271402490791,target_3,924.3597254960115
rea,beta,0.007662271402490791,target_4,561.0414617122389
rea,beta,0.007750749922943631,target_1,177.3364742474175
rea,beta,0.007750749922943631,target_2,0.330901653807497
rea,beta,0.007750749922943631,target_3,919.6341001196607
rea,beta,0.007750749922943631,target_4,560.9103669918975
rea,beta,0.007839228443396472,target_1,158.82934097139412
rea,beta,0.007839228443396472,target_2,0.3438462379310829
rea,beta,0.007839228443396472,target_3,914.5273032291569
rea,beta,0.007839228443396472,target_4,560.8413135935592
rea,beta,0.007927706963849313,target_1,139.90475100875722
rea,beta,0.007927706963849313,target_2,0.35703630059334285
rea,beta,0.007927706963849313,target_3,909.7223387144992
rea,beta,0.007927706963849313,target_4,560.7683166334147
rea,beta,0.008016185484302154,target_1,118.30175880001029
rea,beta,0.008016185484302154,target_2,0.3879620539940683
rea,beta,0.008016185484302154,target_3,903.5478930121009
rea,beta,0.008016185484302154,target_4,560.6258811056198
rea,beta,0.008104664004754994,target_1,105.82574749872877
rea,beta,0.008104664004754994,target_2,0.414174921233146
rea,beta,0.008104664004754994,target_3,898.980044670834
rea,beta,0.008104664004754994,target_4,560.5739514138245
rea,beta,0.008193142525207836,target_1,88.85725452432347
rea,beta,0.008193142525207836,target_2,0.44325637990785455
rea,beta,0.008193142525207836,target_3,892.4892801594923
rea,beta,0.008193142525207836,target_4,560.4831962246022
rea,beta,0.008281621045660676,target_1,71.88394036581259
rea,beta,0.008281621045660676,target_2,0.4988824082419635
rea,beta,0.008281621045660676,target_3,885.0524092212555
rea,beta,0.008281621045660676,target_4,560.395531956937
powery,CR6,20.32044027887824,target_1,25941.255928593644
powery,CR6,20.32044027887824,target_2,22761.902190866844
powery,CR6,20.32044027887824,target_3,21647.12122238233
powery,CR6,20.32044027887824,target_4,22953.622857794962
