dataset,feature_set,model,n_samples,n_train,n_test,input_dim,output_dim,mean_r2,mean_mae,mean_rmse,mean_nmae,mean_nrmse,std_r2,std_nrmse,r2_rank,nrmse_rank,nmae_rank,rank_score,model_rank
xs,full,Ridge,1000,800,200,8,1,0.9999347287510318,4.392055397100747e-05,6.21592137181258e-05,0.0009591315944052982,0.0013574251772826198,0.0,0.0,1.0,1.0,1.0,1.0,1
xs,full,KNN,1000,800,200,8,1,0.8802619165833367,0.0020261525076670384,0.0026623227413763682,0.04424686643228153,0.058139472863739626,0.0,0.0,3.0,3.0,3.0,3.0,3
xs,full,RandomForest,1000,800,200,8,1,0.8725435509057211,0.0020263655352415087,0.002746790003654709,0.04425151850195463,0.05998405843061465,0.0,0.0,4.0,4.0,4.0,4.0,4
xs,full,GradientBoosting,1000,800,200,8,1,0.9585038727715078,0.001125341721507549,0.0015672862879016001,0.024575072534668667,0.034226203002742796,0.0,0.0,2.0,2.0,2.0,2.0,2
xs,selected,Ridge,1000,800,200,4,1,0.9566031012932354,0.0013077851638318826,0.0016027799387462612,0.028559249734274133,0.035001308934885116,0.0,0.0,1.0,1.0,1.0,1.0,1
xs,selected,KNN,1000,800,200,4,1,0.9137987101219308,0.0017824810792900314,0.002258923029080861,0.03892560008931755,0.04933008012493139,0.0,0.0,3.0,3.0,4.0,3.25,3
xs,selected,RandomForest,1000,800,200,4,1,0.9111951523010134,0.0017700265999994302,0.0022927826550209213,0.038653620719763894,0.05006950242446101,0.0,0.0,4.0,4.0,3.0,3.75,4
xs,selected,GradientBoosting,1000,800,200,4,1,0.9347848849389468,0.0015131560019700418,0.0019648015096282168,0.03304411255175664,0.04290709096847079,0.0,0.0,2.0,2.0,2.0,2.0,2
bwr,full,Ridge,2000,1600,400,9,5,0.6210411958397728,0.2383377309297327,0.31805106874071787,0.10665999477435144,0.13800950706640958,0.21534820163071322,0.038933761065268094,4.0,4.0,4.0,4.0,4
bwr,full,KNN,2000,1600,400,9,5,0.6616195003248613,0.22531860515216043,0.3291738823456484,0.08387784061761379,0.12718514676325238,0.23171533392150173,0.019032117444322948,3.0,3.0,3.0,3.0,3
bwr,full,RandomForest,2000,1600,400,9,5,0.8848025470048991,0.114862495817174,0.18875936937210885,0.04410213879225404,0.07026126921742283,0.10158023559105464,0.004883111749319739,2.0,2.0,2.0,2.0,2
bwr,full,GradientBoosting,2000,1600,400,9,5,0.9663074321720755,0.07428993065577896,0.15463918816234784,0.020252528789232054,0.04030319338118548,0.020350876167964566,0.01873427294374617,1.0,1.0,1.0,1.0,1
bwr,selected,Ridge,2000,1600,400,1,5,0.6215346579035467,0.2374765542598869,0.3161991419096416,0.10648181604118434,0.13767225542115297,0.21719091377148525,0.038974764745524,4.0,4.0,4.0,4.0,4
bwr,selected,KNN,2000,1600,400,1,5,0.9304980695567189,0.08589664214285715,0.18583950478110206,0.03128161772891266,0.058767861125534934,0.040601574731165054,0.013641541113154736,3.0,3.0,3.0,3.0,3
bwr,selected,RandomForest,2000,1600,400,1,5,0.9413401748441832,0.08292845944907859,0.17609992346177897,0.0299849903758976,0.055318382995752736,0.02881987272080221,0.01363156541184427,2.0,2.0,2.0,2.0,2
bwr,selected,GradientBoosting,2000,1600,400,1,5,0.941670979020552,0.08316956336396994,0.17651297859983242,0.029980351162447703,0.05530688568818902,0.02805721402927899,0.013810623276572483,1.0,1.0,1.0,1.0,1
