dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
bwr,selected,KNN,Max-Fxy,0.8549640165665952,0.011205714285714288,0.01869228805291264,0.024627943485086342,0.04108195176464316
bwr,selected,RandomForest,K-eff,0.9792376566921966,0.006786935109927343,0.013159996541171384,0.021924457649332423,0.04251194127526614
bwr,selected,RandomForest,Max3Pin,0.945493778034288,0.17713297950238696,0.3829870050271475,0.031557630411969885,0.0682321405713785
bwr,selected,RandomForest,Max4Pin,0.9429099288109262,0.18761280174234254,0.42184705128248917,0.030580733780332933,0.06876072555541796
bwr,selected,RandomForest,F-delta-H,0.9490729512003141,0.0331414817375547,0.04622582476608219,0.043954219811080504,0.06130745990196577
bwr,selected,RandomForest,Max-Fxy,0.8899865594831904,0.009968099153181387,0.016279739692004584,0.021907910226772277,0.03577964767473534
bwr,selected,GradientBoosting,K-eff,0.9792753712344777,0.006782102583797847,0.013148038622095825,0.021908846697886834,0.042473312514846324
bwr,selected,GradientBoosting,Max3Pin,0.9452069478137268,0.1775608332493163,0.3839933865211803,0.03163385591471874,0.06841143533247468
bwr,selected,GradientBoosting,Max4Pin,0.9425654323702058,0.18849771007363195,0.4231179047921561,0.03072497311713642,0.06896787364175323
bwr,selected,GradientBoosting,F-delta-H,0.9491595365736186,0.03314489302534446,0.04618651183636772,0.043958744065443575,0.06125532073788822
bwr,selected,GradientBoosting,Max-Fxy,0.8921476071107306,0.009862277887759101,0.016119051227362128,0.021675336017052967,0.03542648621398269
fp,full,Ridge,fis_gas_produced,0.9992324324796105,3.362387184682994e-08,4.1669207853555674e-08,0.004002841886527374,0.004960619982566151
fp,full,Ridge,max_fuel_centerline_temp,0.996135349570607,1.8170426619339566,2.205506177198826,0.007918487728353373,0.009611372349600468
fp,full,Ridge,max_fuel_surface_temp,0.9177345746169476,2.0051215664569737,2.3451328028727225,0.04097074598127445,0.047918212025731675
fp,full,Ridge,radial_clad_dia,0.9970072070329449,3.439322845703022e-08,4.2303845859150825e-08,0.007019026215720457,0.008633437930438949
fp,full,KNN,fis_gas_produced,0.6572721543545798,7.060639646692214e-07,8.805046327080379e-07,0.08405523388919302,0.10482198008429021
fp,full,KNN,max_fuel_centerline_temp,0.6545139219123821,15.332563616985984,20.852995327143567,0.06681775799148176,0.09087523978201359
